texto,prioridad,area_destino
"Solicito licencia de edificacion modalidad A adjuntando documentos completos, caso numero 81, agradecere la atencion",Media,Desarrollo Urbano y Obras
"Requiero licencia de edificacion modalidad B con la documentacion requerida, caso numero 82, adjunto informacion adicional",Media,Desarrollo Urbano y Obras
"Deseo tramitar licencia de edificacion modalidad C para uso personal, caso numero 83, agradezco su apoyo",Media,Desarrollo Urbano y Obras
"Necesito gestionar licencia de edificacion modalidad D a fin de cumplir la normativa, caso numero 84, quedo atento a respuesta",Alta,Desarrollo Urbano y Obras
"Presento expediente para constancia de posesion para continuar otro procedimiento, caso numero 85, se incluyen sustentos",Media,Desarrollo Urbano y Obras
"Vengo a solicitar certificado de parametros urbanisticos segun orientacion recibida, caso numero 86, requiero pronta atencion",Baja,Desarrollo Urbano y Obras
"Me acerco para pedir autorizacion de rotura de vias para una gestion bancaria, caso numero 87, solicito evaluacion",Media,Desarrollo Urbano y Obras
"Quisiera obtener ITSE basica porque debo regularizar una situacion pendiente, caso numero 88, presento todos los requisitos",Media,Gestion de Riesgos
"Estoy iniciando ITSE de detalle antes de la fecha indicada, caso numero 89, por favor revisar el caso",Alta,Gestion de Riesgos
"Corresponde gestionar acceso a informacion publica por motivos laborales, caso numero 90, espero la revision correspondiente",Baja,Secretaria General
"Solicito recurso de apelacion adjuntando documentos completos, caso numero 91, agradecere la atencion",Alta,Secretaria General
"Requiero recurso de reconsideracion con la documentacion requerida, caso numero 92, adjunto informacion adicional",Media,Secretaria General
"Deseo tramitar inscripcion de nacimiento para uso personal, caso numero 93, agradezco su apoyo",Alta,Registro Civil
"Necesito gestionar matrimonio civil a fin de cumplir la normativa, caso numero 94, quedo atento a respuesta",Media,Registro Civil
"Presento expediente para divorcio rapido para continuar otro procedimiento, caso numero 95, se incluyen sustentos",Media,Registro Civil
"Vengo a solicitar copias de actas segun orientacion recibida, caso numero 96, requiero pronta atencion",Baja,Registro Civil
"Me acerco para pedir acta de defuncion para una gestion bancaria, caso numero 97, solicito evaluacion",Media,Registro Civil
"Quisiera obtener licencia de funcionamiento porque debo regularizar una situacion pendiente, caso numero 98, presento todos los requisitos",Media,Rentas y Comercializacion
"Estoy iniciando impuesto predial antes de la fecha indicada, caso numero 99, por favor revisar el caso",Baja,Rentas y Comercializacion
"Corresponde gestionar autoavaluo por motivos laborales, caso numero 100, espero la revision correspondiente",Baja,Rentas y Comercializacion
"Solicito arbitrios adjuntando documentos completos, caso numero 101, agradecere la atencion",Baja,Rentas y Comercializacion
"Requiero fraccionamiento de deudas con la documentacion requerida, caso numero 102, adjunto informacion adicional",Media,Rentas y Comercializacion
"Deseo tramitar autorizacion de anuncios para uso personal, caso numero 103, agradezco su apoyo",Media,Rentas y Comercializacion
"Necesito gestionar licencia de edificacion modalidad A a fin de cumplir la normativa, caso numero 104, quedo atento a respuesta",Media,Desarrollo Urbano y Obras
"Presento expediente para licencia de edificacion modalidad B para continuar otro procedimiento, caso numero 105, se incluyen sustentos",Media,Desarrollo Urbano y Obras
"Vengo a solicitar licencia de edificacion modalidad C segun orientacion recibida, caso numero 106, requiero pronta atencion",Media,Desarrollo Urbano y Obras
"Me acerco para pedir licencia de edificacion modalidad D para una gestion bancaria, caso numero 107, solicito evaluacion",Alta,Desarrollo Urbano y Obras
"Quisiera obtener constancia de posesion porque debo regularizar una situacion pendiente, caso numero 108, presento todos los requisitos",Media,Desarrollo Urbano y Obras
"Estoy iniciando certificado de parametros urbanisticos antes de la fecha indicada, caso numero 109, por favor revisar el caso",Baja,Desarrollo Urbano y Obras
"Corresponde gestionar autorizacion de rotura de vias por motivos laborales, caso numero 110, espero la revision correspondiente",Media,Desarrollo Urbano y Obras
"Solicito ITSE basica adjuntando documentos completos, caso numero 111, agradecere la atencion",Media,Gestion de Riesgos
"Requiero ITSE de detalle con la documentacion requerida, caso numero 112, adjunto informacion adicional",Alta,Gestion de Riesgos
"Deseo tramitar acceso a informacion publica para uso personal, caso numero 113, agradezco su apoyo",Baja,Secretaria General
"Necesito gestionar recurso de apelacion a fin de cumplir la normativa, caso numero 114, quedo atento a respuesta",Alta,Secretaria General
"Presento expediente para recurso de reconsideracion para continuar otro procedimiento, caso numero 115, se incluyen sustentos",Media,Secretaria General
"Vengo a solicitar inscripcion de nacimiento segun orientacion recibida, caso numero 116, requiero pronta atencion",Alta,Registro Civil
"Me acerco para pedir matrimonio civil para una gestion bancaria, caso numero 117, solicito evaluacion",Media,Registro Civil
"Quisiera obtener divorcio rapido porque debo regularizar una situacion pendiente, caso numero 118, presento todos los requisitos",Media,Registro Civil
"Estoy iniciando copias de actas antes de la fecha indicada, caso numero 119, por favor revisar el caso",Baja,Registro Civil
"Corresponde gestionar acta de defuncion por motivos laborales, caso numero 120, espero la revision correspondiente",Media,Registro Civil
"Solicito licencia de funcionamiento adjuntando documentos completos, caso numero 121, agradecere la atencion",Media,Rentas y Comercializacion
"Requiero impuesto predial con la documentacion requerida, caso numero 122, adjunto informacion adicional",Baja,Rentas y Comercializacion
"Deseo tramitar autoavaluo para uso personal, caso numero 123, agradezco su apoyo",Baja,Rentas y Comercializacion
"Necesito gestionar arbitrios a fin de cumplir la normativa, caso numero 124, quedo atento a respuesta",Baja,Rentas y Comercializacion
"Presento expediente para fraccionamiento de deudas para continuar otro procedimiento, caso numero 125, se incluyen sustentos",Media,Rentas y Comercializacion
"Vengo a solicitar autorizacion de anuncios segun orientacion recibida, caso numero 126, requiero pronta atencion",Media,Rentas y Comercializacion
"Me acerco para pedir licencia de edificacion modalidad A para una gestion bancaria, caso numero 127, solicito evaluacion",Media,Desarrollo Urbano y Obras
"Quisiera obtener licencia de edificacion modalidad B porque debo regularizar una situacion pendiente, caso numero 128, presento todos los requisitos",Media,Desarrollo Urbano y Obras
"Estoy iniciando licencia de edificacion modalidad C antes de la fecha indicada, caso numero 129, por favor revisar el caso",Media,Desarrollo Urbano y Obras
"Corresponde gestionar licencia de edificacion modalidad D por motivos laborales, caso numero 130, espero la revision correspondiente",Alta,Desarrollo Urbano y Obras
"Solicito constancia de posesion adjuntando documentos completos, caso numero 131, agradecere la atencion",Media,Desarrollo Urbano y Obras
"Requiero certificado de parametros urbanisticos con la documentacion requerida, caso numero 132, adjunto informacion adicional",Baja,Desarrollo Urbano y Obras
"Deseo tramitar autorizacion de rotura de vias para uso personal, caso numero 133, agradezco su apoyo",Media,Desarrollo Urbano y Obras
"Necesito gestionar ITSE basica a fin de cumplir la normativa, caso numero 134, quedo atento a respuesta",Media,Gestion de Riesgos
"Presento expediente para ITSE de detalle para continuar otro procedimiento, caso numero 135, se incluyen sustentos",Alta,Gestion de Riesgos
"Vengo a solicitar acceso a informacion publica segun orientacion recibida, caso numero 136, requiero pronta atencion",Baja,Secretaria General
"Me acerco para pedir recurso de apelacion para una gestion bancaria, caso numero 137, solicito evaluacion",Alta,Secretaria General
"Quisiera obtener recurso de reconsideracion porque debo regularizar una situacion pendiente, caso numero 138, presento todos los requisitos",Media,Secretaria General
"Estoy iniciando inscripcion de nacimiento antes de la fecha indicada, caso numero 139, por favor revisar el caso",Alta,Registro Civil
"Corresponde gestionar matrimonio civil por motivos laborales, caso numero 140, espero la revision correspondiente",Media,Registro Civil
"Solicito divorcio rapido adjuntando documentos completos, caso numero 141, agradecere la atencion",Media,Registro Civil
"Requiero copias de actas con la documentacion requerida, caso numero 142, adjunto informacion adicional",Baja,Registro Civil
"Deseo tramitar acta de defuncion para uso personal, caso numero 143, agradezco su apoyo",Media,Registro Civil
"Necesito gestionar licencia de funcionamiento a fin de cumplir la normativa, caso numero 144, quedo atento a respuesta",Media,Rentas y Comercializacion
"Presento expediente para impuesto predial para continuar otro procedimiento, caso numero 145, se incluyen sustentos",Baja,Rentas y Comercializacion
"Vengo a solicitar autoavaluo segun orientacion recibida, caso numero 146, requiero pronta atencion",Baja,Rentas y Comercializacion
"Me acerco para pedir arbitrios para una gestion bancaria, caso numero 147, solicito evaluacion",Baja,Rentas y Comercializacion
"Quisiera obtener fraccionamiento de deudas porque debo regularizar una situacion pendiente, caso numero 148, presento todos los requisitos",Media,Rentas y Comercializacion
"Estoy iniciando autorizacion de anuncios antes de la fecha indicada, caso numero 149, por favor revisar el caso",Media,Rentas y Comercializacion
"Corresponde gestionar licencia de edificacion modalidad A por motivos laborales, caso numero 150, espero la revision correspondiente",Media,Desarrollo Urbano y Obras
"Solicito licencia de edificacion modalidad B adjuntando documentos completos, caso numero 151, agradecere la atencion",Media,Desarrollo Urbano y Obras
"Requiero licencia de edificacion modalidad C con la documentacion requerida, caso numero 152, adjunto informacion adicional",Media,Desarrollo Urbano y Obras
"Deseo tramitar licencia de edificacion modalidad D para uso personal, caso numero 153, agradezco su apoyo",Alta,Desarrollo Urbano y Obras
"Necesito gestionar constancia de posesion a fin de cumplir la normativa, caso numero 154, quedo atento a respuesta",Media,Desarrollo Urbano y Obras
"Presento expediente para certificado de parametros urbanisticos para continuar otro procedimiento, caso numero 155, se incluyen sustentos",Baja,Desarrollo Urbano y Obras
"Vengo a solicitar autorizacion de rotura de vias segun orientacion recibida, caso numero 156, requiero pronta atencion",Media,Desarrollo Urbano y Obras
"Me acerco para pedir ITSE basica para una gestion bancaria, caso numero 157, solicito evaluacion",Media,Gestion de Riesgos
"Quisiera obtener ITSE de detalle porque debo regularizar una situacion pendiente, caso numero 158, presento todos los requisitos",Alta,Gestion de Riesgos
"Estoy iniciando acceso a informacion publica antes de la fecha indicada, caso numero 159, por favor revisar el caso",Baja,Secretaria General
"Corresponde gestionar recurso de apelacion por motivos laborales, caso numero 160, espero la revision correspondiente",Alta,Secretaria General
"Solicito recurso de reconsideracion adjuntando documentos completos, caso numero 161, agradecere la atencion",Media,Secretaria General
"Requiero inscripcion de nacimiento con la documentacion requerida, caso numero 162, adjunto informacion adicional",Alta,Registro Civil
"Deseo tramitar matrimonio civil para uso personal, caso numero 163, agradezco su apoyo",Media,Registro Civil
"Necesito gestionar divorcio rapido a fin de cumplir la normativa, caso numero 164, quedo atento a respuesta",Media,Registro Civil
"Presento expediente para copias de actas para continuar otro procedimiento, caso numero 165, se incluyen sustentos",Baja,Registro Civil
"Vengo a solicitar acta de defuncion segun orientacion recibida, caso numero 166, requiero pronta atencion",Media,Registro Civil
"Me acerco para pedir licencia de funcionamiento para una gestion bancaria, caso numero 167, solicito evaluacion",Media,Rentas y Comercializacion
"Quisiera obtener impuesto predial porque debo regularizar una situacion pendiente, caso numero 168, presento todos los requisitos",Baja,Rentas y Comercializacion
"Estoy iniciando autoavaluo antes de la fecha indicada, caso numero 169, por favor revisar el caso",Baja,Rentas y Comercializacion
"Corresponde gestionar arbitrios por motivos laborales, caso numero 170, espero la revision correspondiente",Baja,Rentas y Comercializacion
"Solicito fraccionamiento de deudas adjuntando documentos completos, caso numero 171, agradecere la atencion",Media,Rentas y Comercializacion
"Requiero autorizacion de anuncios con la documentacion requerida, caso numero 172, adjunto informacion adicional",Media,Rentas y Comercializacion
"Deseo tramitar licencia de edificacion modalidad A para uso personal, caso numero 173, agradezco su apoyo",Media,Desarrollo Urbano y Obras
"Necesito gestionar licencia de edificacion modalidad B a fin de cumplir la normativa, caso numero 174, quedo atento a respuesta",Media,Desarrollo Urbano y Obras
"Presento expediente para licencia de edificacion modalidad C para continuar otro procedimiento, caso numero 175, se incluyen sustentos",Media,Desarrollo Urbano y Obras
"Vengo a solicitar licencia de edificacion modalidad D segun orientacion recibida, caso numero 176, requiero pronta atencion",Alta,Desarrollo Urbano y Obras
"Me acerco para pedir constancia de posesion para una gestion bancaria, caso numero 177, solicito evaluacion",Media,Desarrollo Urbano y Obras
"Quisiera obtener certificado de parametros urbanisticos porque debo regularizar una situacion pendiente, caso numero 178, presento todos los requisitos",Baja,Desarrollo Urbano y Obras
"Estoy iniciando autorizacion de rotura de vias antes de la fecha indicada, caso numero 179, por favor revisar el caso",Media,Desarrollo Urbano y Obras
"Corresponde gestionar ITSE basica por motivos laborales, caso numero 180, espero la revision correspondiente",Media,Gestion de Riesgos
"Solicito ITSE de detalle adjuntando documentos completos, caso numero 181, agradecere la atencion",Alta,Gestion de Riesgos
"Requiero acceso a informacion publica con la documentacion requerida, caso numero 182, adjunto informacion adicional",Baja,Secretaria General
"Deseo tramitar recurso de apelacion para uso personal, caso numero 183, agradezco su apoyo",Alta,Secretaria General
"Necesito gestionar recurso de reconsideracion a fin de cumplir la normativa, caso numero 184, quedo atento a respuesta",Media,Secretaria General
"Presento expediente para inscripcion de nacimiento para continuar otro procedimiento, caso numero 185, se incluyen sustentos",Alta,Registro Civil
"Vengo a solicitar matrimonio civil segun orientacion recibida, caso numero 186, requiero pronta atencion",Media,Registro Civil
"Me acerco para pedir divorcio rapido para una gestion bancaria, caso numero 187, solicito evaluacion",Media,Registro Civil
"Quisiera obtener copias de actas porque debo regularizar una situacion pendiente, caso numero 188, presento todos los requisitos",Baja,Registro Civil
"Estoy iniciando acta de defuncion antes de la fecha indicada, caso numero 189, por favor revisar el caso",Media,Registro Civil
"Corresponde gestionar licencia de funcionamiento por motivos laborales, caso numero 190, espero la revision correspondiente",Media,Rentas y Comercializacion
"Solicito impuesto predial adjuntando documentos completos, caso numero 191, agradecere la atencion",Baja,Rentas y Comercializacion
"Requiero autoavaluo con la documentacion requerida, caso numero 192, adjunto informacion adicional",Baja,Rentas y Comercializacion
"Deseo tramitar arbitrios para uso personal, caso numero 193, agradezco su apoyo",Baja,Rentas y Comercializacion
"Necesito gestionar fraccionamiento de deudas a fin de cumplir la normativa, caso numero 194, quedo atento a respuesta",Media,Rentas y Comercializacion
"Presento expediente para autorizacion de anuncios para continuar otro procedimiento, caso numero 195, se incluyen sustentos",Media,Rentas y Comercializacion
"Vengo a solicitar licencia de edificacion modalidad A segun orientacion recibida, caso numero 196, requiero pronta atencion",Media,Desarrollo Urbano y Obras
"Me acerco para pedir licencia de edificacion modalidad B para una gestion bancaria, caso numero 197, solicito evaluacion",Media,Desarrollo Urbano y Obras
"Quisiera obtener licencia de edificacion modalidad C porque debo regularizar una situacion pendiente, caso numero 198, presento todos los requisitos",Media,Desarrollo Urbano y Obras
"Estoy iniciando licencia de edificacion modalidad D antes de la fecha indicada, caso numero 199, por favor revisar el caso",Alta,Desarrollo Urbano y Obras
"Corresponde gestionar constancia de posesion por motivos laborales, caso numero 200, espero la revision correspondiente",Media,Desarrollo Urbano y Obras
"Solicito certificado de parametros urbanisticos adjuntando documentos completos, caso numero 201, agradecere la atencion",Baja,Desarrollo Urbano y Obras
"Requiero autorizacion de rotura de vias con la documentacion requerida, caso numero 202, adjunto informacion adicional",Media,Desarrollo Urbano y Obras
"Deseo tramitar ITSE basica para uso personal, caso numero 203, agradezco su apoyo",Media,Gestion de Riesgos
"Necesito gestionar ITSE de detalle a fin de cumplir la normativa, caso numero 204, quedo atento a respuesta",Alta,Gestion de Riesgos
"Presento expediente para acceso a informacion publica para continuar otro procedimiento, caso numero 205, se incluyen sustentos",Baja,Secretaria General
"Vengo a solicitar recurso de apelacion segun orientacion recibida, caso numero 206, requiero pronta atencion",Alta,Secretaria General
"Me acerco para pedir recurso de reconsideracion para una gestion bancaria, caso numero 207, solicito evaluacion",Media,Secretaria General
"Quisiera obtener inscripcion de nacimiento porque debo regularizar una situacion pendiente, caso numero 208, presento todos los requisitos",Alta,Registro Civil
"Estoy iniciando matrimonio civil antes de la fecha indicada, caso numero 209, por favor revisar el caso",Media,Registro Civil
"Corresponde gestionar divorcio rapido por motivos laborales, caso numero 210, espero la revision correspondiente",Media,Registro Civil
"Solicito copias de actas adjuntando documentos completos, caso numero 211, agradecere la atencion",Baja,Registro Civil
"Requiero acta de defuncion con la documentacion requerida, caso numero 212, adjunto informacion adicional",Media,Registro Civil
"Deseo tramitar licencia de funcionamiento para uso personal, caso numero 213, agradezco su apoyo",Media,Rentas y Comercializacion
"Necesito gestionar impuesto predial a fin de cumplir la normativa, caso numero 214, quedo atento a respuesta",Baja,Rentas y Comercializacion
"Presento expediente para autoavaluo para continuar otro procedimiento, caso numero 215, se incluyen sustentos",Baja,Rentas y Comercializacion
"Vengo a solicitar arbitrios segun orientacion recibida, caso numero 216, requiero pronta atencion",Baja,Rentas y Comercializacion
"Me acerco para pedir fraccionamiento de deudas para una gestion bancaria, caso numero 217, solicito evaluacion",Media,Rentas y Comercializacion
"Quisiera obtener autorizacion de anuncios porque debo regularizar una situacion pendiente, caso numero 218, presento todos los requisitos",Media,Rentas y Comercializacion
"Estoy iniciando licencia de edificacion modalidad A antes de la fecha indicada, caso numero 219, por favor revisar el caso",Media,Desarrollo Urbano y Obras
"Corresponde gestionar licencia de edificacion modalidad B por motivos laborales, caso numero 220, espero la revision correspondiente",Media,Desarrollo Urbano y Obras
"Solicito licencia de edificacion modalidad C adjuntando documentos completos, caso numero 221, agradecere la atencion",Media,Desarrollo Urbano y Obras
"Requiero licencia de edificacion modalidad D con la documentacion requerida, caso numero 222, adjunto informacion adicional",Alta,Desarrollo Urbano y Obras
"Deseo tramitar constancia de posesion para uso personal, caso numero 223, agradezco su apoyo",Media,Desarrollo Urbano y Obras
"Necesito gestionar certificado de parametros urbanisticos a fin de cumplir la normativa, caso numero 224, quedo atento a respuesta",Baja,Desarrollo Urbano y Obras
"Presento expediente para autorizacion de rotura de vias para continuar otro procedimiento, caso numero 225, se incluyen sustentos",Media,Desarrollo Urbano y Obras
"Vengo a solicitar ITSE basica segun orientacion recibida, caso numero 226, requiero pronta atencion",Media,Gestion de Riesgos
"Me acerco para pedir ITSE de detalle para una gestion bancaria, caso numero 227, solicito evaluacion",Alta,Gestion de Riesgos
"Quisiera obtener acceso a informacion publica porque debo regularizar una situacion pendiente, caso numero 228, presento todos los requisitos",Baja,Secretaria General
"Estoy iniciando recurso de apelacion antes de la fecha indicada, caso numero 229, por favor revisar el caso",Alta,Secretaria General
"Corresponde gestionar recurso de reconsideracion por motivos laborales, caso numero 230, espero la revision correspondiente",Media,Secretaria General
"Solicito inscripcion de nacimiento adjuntando documentos completos, caso numero 231, agradecere la atencion",Alta,Registro Civil
"Requiero matrimonio civil con la documentacion requerida, caso numero 232, adjunto informacion adicional",Media,Registro Civil
"Deseo tramitar divorcio rapido para uso personal, caso numero 233, agradezco su apoyo",Media,Registro Civil
