texto,prioridad
Pregunto si la municipalidad brinda servicio de asesoría legal gratuita a vecinos,Baja
Pedido de reposición de señales de tránsito destruidas en Av. Grau,Media
"Hombre armado se atrincheró en iglesia de Balconcillo, pide negociación policial",Alta
Emergencia médica masiva: intoxicación alimentaria en comedor popular afecta 30 personas,Alta
"Derrumbe de muro perimetral de colegio sobre la calle, dos autos aplastados",Alta
"Motociclista arrollado por bus interprovincial, herido grave en Av. Iquitos",Alta
"Sismo deja grietas en 5 viviendas del jirón Renovación, familias piden evaluación",Alta
"Incendio activo en vivienda de dos pisos en Jr. Renovación, llamas visibles desde lejos",Alta
"Pregunta por el estado de mi DNI electrónico, lo saqué por la municipalidad hace un mes",Baja
Consulta sobre el proceso para obtener personería jurídica de comité vecinal,Baja
Necesito saber el procedimiento para solicitar inspección de mi vivienda para alquiler,Baja
"Corte de vía principal por manifestantes violentos, queman vehículos en la pista",Alta
Consulta sobre beneficios tributarios para pensionistas con bajos recursos,Baja
"Desplome de grúa en obra de construcción en Av. México, obreros atrapados bajo escombros",Alta
Demora excesiva en certificado de parámetros urbanísticos para Av. México 567,Media
"Reclamo por bache profundo en Jr. Puno que dañó mi vehículo, tengo fotos del daño",Media
Queja por ambulantes que bloquean acceso a mi local comercial en galería de Gamarra,Media
Solicito revisión de mi expediente de licencia que lleva 3 meses sin resolución,Media
Urgente: joven amenaza con lanzarse desde azotea de edificio en Av. México,Alta
Quiero saber si existe convenio de descuentos con farmacias para vecinos mayores,Baja
Reclamo por demora en entrega de resolución de licencia aprobada hace 2 meses,Media
"Intento de linchamiento en paradero municipal, turba golpea a presunto ladrón",Alta
Pedido de cierre de local que vende licor a menores de edad en zona escolar,Media
Quiero saber cómo inscribir a mi hijo en los campamentos recreativos municipales,Baja
Pedido urgente de desobstrucción de canal pluvial antes de la temporada de lluvias,Media
Conductor en estado de ebriedad atropelló a 4 personas en vereda de Av. México,Alta
"Auxilio: niño atrapado entre rejas de parque, bomberos no llegan, solicitan ayuda urgente",Alta
Solicito información sobre días de recojo especial de residuos electrónicos,Baja
Pregunto sobre los requisitos mínimos para postular a trabajo en la municipalidad,Baja
"Peligro: cable de internet colgante a nivel de cuello en Jr. Cusco, ya golpeó a mototaxi",Alta
Consulta sobre si hay descuento especial por ser damnificado de lluvias del año pasado,Baja
"Fuga de agua potable de tubería principal rompe pista en Av. Grau, zona anegada",Alta
"Deslizamiento de tierra en cerro El Pino, cubre 3 viviendas con familias adentro",Alta
SOS: desaparecida adulta mayor con Alzheimer desde hace 6 horas en zona de Gamarra,Alta
"Emergencia: explosión de tanque de gas en quinta de Jr. Puno, hay quemados graves",Alta
Consulta sobre el procedimiento para reportar un anuncio publicitario dañado,Baja
Solicito directorio de juntas vecinales reconocidas por la municipalidad,Baja
Pregunto sobre cómo renovar mi inscripción en el programa de vaso de leche,Baja
Quiero saber si puedo sacar cita previa para mesa de partes virtual,Baja
Desbordamiento de acequia tapada inunda mercado artesanal y destroza mercancía,Alta
"Fuga de gas en colegio de Gamarra, 200 niños evacuados de emergencia inmediata",Alta
Pido nivelación de calzada frente a mi cochera que impide salir con mi vehículo,Media
Solicito prórroga para subsanar observaciones de expediente de licencia de edificación,Media
Emergencia: camión cisterna volcó y derrama líquido inflamable en Av. 28 de Julio,Alta
"Solicitud de acceso a expediente administrativo N° 456-2024, no me lo quieren mostrar",Media
Pregunta por requisitos para tramitar autorización de venta ambulatoria formal,Baja
Necesito saber el correo electrónico de la oficina de transparencia municipal,Baja
Necesito saber si hay algún programa de microcréditos para pequeños negocios,Baja
"SOS: familia atrapada en vivienda inundada en zona baja de La Victoria, agua sube rápido",Alta
Pido control de velocidad en calle escolar donde autos pasan a gran velocidad,Media
Consulta sobre cómo acceder al registro histórico de actas del concejo municipal,Baja
Pregunta por el proceso de renovación de tarjeta de estacionamiento para discapacitados,Baja
Necesito información sobre talleres de capacitación laboral gratuitos para desempleados,Baja
"Descarrilamiento de tren de carga en paso a nivel, volcadura bloquea vía principal",Alta
"Menor reporta abuso dentro de institución educativa, requiere atención inmediata",Alta
"Solicito poda de árbol en calle Los Pinos 234, ramas tocan cables de luz peligrosamente",Media
Solicito información sobre el programa de becas culturales para jóvenes artistas,Baja
"Balacera en zona comercial de Gamarra, dos heridos de bala, comerciantes en pánico",Alta
Reclamo porque cerraron el parque de mi barrio sin comunicar a los vecinos,Media
Quiero saber si hay programa de apoyo a emprendedores con préstamos municipales,Baja
SOS: derrumbe parcial de loza en vivienda con familia adentro en Urb. Balconcillo,Alta
"Derrame de residuos tóxicos de taller clandestino al desagüe público, olor insoportable",Alta
Queja por funcionamiento de taller de vulcanización en zona de alta densidad residencial,Media
"Pedido de instalación de reductores de velocidad en Av. México, hay exceso de velocidad",Media
Solicitud de instalación de luminarias LED en calle oscura donde asaltaron a mi abuelo,Media
Pido instalación de cámara de seguridad en esquina donde ocurren robos frecuentes,Media
Denuncia por uso indebido de área verde como depósito de materiales de construcción,Media
Reclamo por falta de respuesta a carta presentada hace 2 meses sin ningún aviso,Media
Pregunto sobre el calendario de ferias y eventos municipales para el segundo semestre,Baja
"Tráiler sin frenos choca contra paradero lleno de pasajeros, varios heridos críticos",Alta
"Pedido de bacheo urgente en Av. 28 de Julio, desde hace 3 meses con cráteres en la pista",Media
Necesito saber dónde queda el almacén municipal para recoger materiales donados,Baja
"Grupo armado toma por asalto almacén municipal, trabajadores retenidos",Alta
Emergencia: estructura de edificio amenaza con derrumbarse en plena vía pública de Gamarra,Alta
"Derrumbe de talud en construcción clandestina, 3 obreros sepultados bajo tierra",Alta
Pregunto sobre el proceso para obtener código de contribuyente nuevo,Baja
Pregunta sobre requisitos para obtener certificado de residencia,Baja
Necesito saber si puedo realizar trámites municipales mediante representante legal,Baja
Pedido de fumigación de parque infantil con presencia de plagas visibles,Media
Necesito saber si puedo pagar deuda de arbitrios en cuotas sin interés,Baja
Queja por mal olor proveniente de planta de tratamiento cercana que afecta a los vecinos,Media
Información sobre horarios de atención de la Subgerencia de Rentas municipales,Baja
Renovación de licencia de avisos publicitarios para galería Topi Top en Gamarra,Media
Solicito mantenimiento de cancha deportiva municipal que está en pésimas condiciones,Media
Solicito información sobre cómo participar como voluntario en campaña de limpieza,Baja
Requiero certificado de numeración para formalizar dirección de mi vivienda,Media
Queja por publicidad sonora ambulante de madrugada que perturba el sueño de vecinos,Media
"Robo con violencia a mano armada dentro de farmacia municipal, empleados amenazados",Alta
Auxilio urgente: adulto mayor inconsciente en vereda de Av. Aviación sin atención médica,Alta
"Persona en aparente estado de suicidio en puente Av. Aviación, pide negociación",Alta
Solicito instalación de tachos de basura en parque de Urb. Santa Catalina,Media
Persona en crisis psiquiátrica agresiva amenaza a vecinos con objeto cortante,Alta
Quiero saber los requisitos para obtener carné de la biblioteca municipal,Baja
Solicito información sobre el cronograma de fumigación del distrito para este año,Baja
"Bebé abandonado en bolsa en calle Los Pinos, requiere atención médica urgente",Alta
Reclamo por demora en devolución de documentos originales retenidos en subgerencia,Media
Pedido de reparación de berma central destruida en Av. Iquitos por obras anteriores,Media
Solicito información sobre los mecanismos de participación ciudadana disponibles,Baja
Solicito constancia de numeración para gestión ante Sunarp de mi inmueble heredado,Media
Necesito información sobre el programa de alimentación complementaria para escolares,Baja
Copia certificada de partida de nacimiento para obtener DNI electrónico,Baja
"Incendio en mercadillo de segunda mano, quema se extiende a casas colindantes",Alta
Consulta sobre descuento por pronto pago de arbitrios 2026,Baja
Pregunto sobre los beneficios del programa de vivienda social del distrito,Baja
Pregunto cómo puedo acceder al sistema de consulta de expedientes en línea,Baja
Reclamo por demora en ejecución de obra de drenaje comprometida por la gestión anterior,Media
Solicitud de devolución de garantía por obra municipal mal ejecutada frente a mi local,Media
Reclamo por inscripción incorrecta de datos en plano catastral de mi propiedad,Media
Vecino amenaza con arma de fuego a familia en disputa por terreno en Balconcillo,Alta
Solicito levantamiento topográfico de mi terreno para resolución de límites con vecino,Media
Queja por demora injustificada en emisión de certificado de compatibilidad de uso,Media
Necesito el número de mesa de partes para enviar documentos por correo certificado,Baja
Pido supervisión de obra que invade la vereda pública con materiales de construcción,Media
Quiero saber si existe programa de capacitación en computación para adultos mayores,Baja
Pido inspección por local que hace fiestas hasta las 4am perturbando el descanso vecinal,Media
Consulta sobre cómo solicitar la instalación de un botón de pánico vecinal,Baja
Fuga de agua caliente a presión quema a dos trabajadores en planta municipal,Alta
"Incendio en colegio nocturno Gamarra, alumnos escapan por ventanas del 3er piso",Alta
Queja por perros callejeros agresivos en zona escolar sin atención de control animal,Media
Queja por recolección irregular de basura que lleva semanas sin pasar por mi calle,Media
Pregunto sobre requisitos para participar en concurso de proyectos juveniles,Baja
"Colapso de puente peatonal en Av. Aviación, varios heridos y caídos al vacío",Alta
Necesito información sobre campaña de vacunación antirrábica para perros del distrito,Baja
Queja por vendedores de comida ambulante sin control sanitario cerca al colegio,Media
Quiero saber si hay programa de esterilización gratuita de mascotas en el distrito,Baja
Pido inspección de local de lavado de autos que vierte aguas servidas al desagüe pluvial,Media
Queja por obras de agua y desagüe que llevan 4 meses sin terminar en mi calle,Media
"Sujeto amenaza con cuchillo a pasajeros de combi en Av. Aviación, pasajeros aterrados",Alta
Solicitud de información sobre programa de reciclaje en el distrito,Baja
"Reclamo por mala atención en mesa de partes, me hicieron esperar 3 horas sin ser atendido",Media
"Cables de alta tensión sobre piscina pública, riesgo de electrocución inminente",Alta
Solicito información sobre el padrón de beneficiarios del programa de alimentos,Baja
"Incendio en cocina de restaurante escolar, evacuación de 300 alumnos en pánico",Alta
Solicito autorización para pintar mural artístico en muro municipal de Jr. Huánuco,Media
"Falla estructural en pasarela peatonal sobre Av. 28 de Julio, riesgo de colapso",Alta
Necesito saber si existe convenio con universidades para prácticas profesionales,Baja
Consulta sobre el proceso para obtener constancia de convivencia,Baja
Enfrentamiento entre pandillas en parque Balconcillo con armas blancas y heridos,Alta
"Solicito revisión de multa por supuesta infracción que no cometí, tengo testigos",Media
Solicito reparación de columpio roto en parque infantil que lesionó a mi hija,Media
Solicito información sobre el padrón de pequeñas empresas del distrito,Baja
Solicito autorización para instalar antena de comunicaciones en azotea de edificio,Media
Consulta sobre beneficios del programa municipal para jóvenes emprendedores,Baja
Solicito cambio de uso de suelo para habilitar pequeño taller artesanal en mi vivienda,Media
Explosión de transformador eléctrico deja sin luz a 20 manzanas en zona comercial,Alta
Desalojo violento en terreno invadido con disparos y heridos de bala,Alta
Solicito aprobación de proyecto de remodelación de fachada de mi local comercial,Media
Solicito actualización de planos catastrales de mi predio que tienen datos erróneos,Media
Necesito saber si hay biblioteca municipal y sus horarios de atención,Baja
Reclamo por ruidos molestos de discoteca en Av. Abancay después de las 2 am,Media
Solicito información sobre el reglamento interno de las juntas vecinales reconocidas,Baja
Denuncia por arrojo clandestino de desmonte en área verde de Jr. San Cristóbal,Media
Consulta sobre cómo obtener constancia de estudios del colegio municipal,Baja
"Incendio forestal en cerro San Cristóbal, se acerca a viviendas del asentamiento humano",Alta
Pedido de reubicación de vendedor ambulante que ocupa vereda frente a mi negocio,Media
"Niño de 5 años cayó a pozo de desagüe sin tapa en calle Los Álamos, requieren rescate urgente",Alta
Caída de andamio desde piso 7 de obra en construcción aplasta a transeúnte,Alta
Solicito información sobre días festivos en que cierra la municipalidad,Baja
Pido reparación de reja de parque rota que permite ingreso de personas no autorizadas,Media
"Solicito licencia de funcionamiento para restaurante en Av. Aviación 1200, ya pagué la tasa",Media
Queja por cableado eléctrico informal y peligroso en fachada de edificio Jr. Huánuco,Media
Pedido de constancia de no adeudo para trámite notarial urgente de compra-venta,Media
Reclamo por cobro de arbitrios de predio que ya fue demolido hace más de un año,Media
Solicito revisión de avalúo catastral de mi predio que parece excesivo,Media
Solicito colocación de señal de tránsito en curva peligrosa de Jr. Puno sin visibilidad,Media
Solicito cartilla de trámites de la municipalidad para mi tesis universitaria,Baja
Solicito volante con directorio actualizado de funcionarios municipales,Baja
Queja por taller de carpintería que genera ruido y aserrín desde las 6am en zona residencial,Media
Solicito información sobre el programa de techado de viviendas precarias del distrito,Baja
"Anciana atropellada por camión en Av. Aviación, requiere ambulancia de inmediato",Alta
Solicito revisión de decreto que afecta el giro de mi negocio sin previa notificación,Media
Necesito saber si existe servicio de orientación psicológica gratuita municipal,Baja
"Amago de bomba en colegio emblemático de La Victoria, padres desesperados",Alta
Necesito información sobre el programa de becas municipales para estudiantes,Baja
"Accidente de tránsito múltiple con 8 vehículos, piden cierre de vía y ambulancias",Alta
"Reclamo por factura de arbitrios enviada a dirección incorrecta, casi pierdo descuento",Media
Pido habilitación de callejón cegado ilegalmente por vecino que era paso público,Media
"Solicito verificación de datos en padrón municipal, aparece dirección incorrecta",Media
"Poste de alta tensión caído sobre vivienda en Urb. Balconcillo, cables electrificados al aire",Alta
Consulta sobre procedimiento de inscripción en registro de proveedores municipales,Baja
Solicito autorización para colocar toldo en fachada de mi local comercial,Media
"Quiero reportar un bache pequeño en mi calle, pero sin urgencia inmediata",Baja
Solicito información sobre el reglamento de convivencia vecinal del distrito,Baja
"Pelea campal entre barras bravas en estadio municipal, decenas de heridos graves",Alta
Emergencia grave: cortocircuito en cableado de poste causa incendio en tienda de telas,Alta
Consulta sobre si la municipalidad tiene programa de intercambio de residuos por alimentos,Baja
"Choque de buses en Av. 28 de Julio con 15 heridos, solicitan ambulancias y bomberos urgente",Alta
"Reclamo porque cerraron calle sin autorización para obra privada, afecta el tránsito",Media
Pregunta sobre cómo obtener licencia para evento social en local privado,Baja
Necesito información sobre los clubes deportivos auspiciados por la municipalidad,Baja
Reclamo por daño a mi vehículo causado por bache no señalizado en obra municipal,Media
Reclamo por interrupción de obra pública que bloquea acceso vehicular a mi negocio,Media
Queja por establecimiento de bebidas alcohólicas frente a institución educativa,Media
Necesito información sobre el proceso de adopción de animales del albergue municipal,Baja
Denuncia por publicidad engañosa de empresa inmobiliaria que opera sin licencia,Media
"Aprobación de planos para edificio de 4 pisos en Jr. Huánuco 456, expediente 2025-123",Media
Quiero saber si la municipalidad tiene aplicativo móvil para reportar problemas,Baja
Reporte de poste de alumbrado público apagado desde hace 2 semanas en Jr. Ayacucho,Media
Solicito aprobación de proyecto de ampliación de local con planos adjuntos,Media
Árbol centenario se desploma sobre automóviles estacionados en Jr. Cusco por lluvia,Alta
"Explosión en fábrica clandestina de fuegos artificiales, múltiples heridos graves",Alta
Reclamo por cobro duplicado en recibo de arbitrios del mes de enero 2026,Media
Solicito habilitación de rampa para silla de ruedas en acceso a local municipal,Media
"Queja por falta de mantenimiento de pistas en zona industrial, dañan los vehículos",Media
Solicito habilitación de paradero informal para mototaxis cerca al mercado,Media
"Reclamo por pérdida de documentos originales en mesa de partes, no se hacen responsables",Media
"Cables de alta tensión caídos en pista mojada tras lluvia en Jr. Puno, peligro mortal",Alta
Turba enardecida intenta quemar local municipal en protesta violenta,Alta
"Incendio simultáneo en tres locales de Gamarra, bomberos piden refuerzos urgentes",Alta
"Peligro: transformador en llamas sobre poste en zona residencial, riesgo de propagación",Alta
Solicito información sobre cómo regularizar mi junta vecinal ante la municipalidad,Baja
"Persona herida de bala tirada en vereda de Gamarra, nadie la socorre, sigue consciente",Alta
Reclamo por interrupción del servicio de agua sin previo aviso durante 3 días seguidos,Media
Necesito saber el link para ver el organigrama actualizado de la municipalidad,Baja
Necesito el formulario para solicitar constancia de residencia por internet,Baja
"Inundación por desborde de canal en Av. México 3400, 12 familias damnificadas piden auxilio",Alta
Consulta sobre horario de atención para orientación legal gratuita a vecinos,Baja
Reclamo porque obra de pistas destruyó tubería de agua de mi vivienda sin reparar,Media
"Emergencia: fuga de agua masiva rompe pista completa, tránsito paralizado en hora punta",Alta
Pregunta sobre cómo acceder al programa de apoyo social para adultos mayores,Baja
Consulta sobre cómo inscribirse en el programa de huertos urbanos municipales,Baja
Queja por acumulación de maleza en terreno baldío que genera plagas en mi casa,Media
"Permiso de construcción para vivienda unifamiliar en Mz B Lt 12, Urb. Balconcillo",Media
Queja por contaminación sonora de taller automotriz cerca a zona escolar,Media
Pido revisión de cálculo de multa por construcción que considero excesiva e injusta,Media
Pregunta sobre requisitos para matrimonio civil en la municipalidad de La Victoria,Baja
Pedido de intervención por local nocturno que genera riñas frecuentes los fines de semana,Media
Solicito permiso para colocar mesas en la vereda de mi restaurante los fines de semana,Media
Queja por ocupación de berma lateral como depósito permanente de residuos sólidos,Media
Pregunta por fechas de campaña de recojo de residuos voluminosos en el distrito,Baja
Solicito copia simple del acta de defunción de mi abuelo para trámite familiar,Baja
"Pedido de inspección técnica de seguridad en edificio de Av. Iquitos 890, aparecieron grietas",Media
"Queja por mal estado de veredas en Jr. San Cristóbal, hay huecos que causan caídas frecuentes",Media
Denuncia de establecimiento que funciona sin licencia en zona residencial de Balconcillo,Media
Solicitud de información sobre amnistía tributaria 2026 para deudas de arbitrios atrasados,Media
"Pedido de ampliación de horario de atención en Registro Civil, solo atienden hasta 1 pm",Media
Pregunto si existe servicio de wifi gratuito en parques municipales del distrito,Baja
"Denuncia por construcción sin licencia en terreno vecino, afecta la estabilidad de mi muro",Media
"Solicito inspección por ruidos de taller mecánico en zona residencial, trabajan de noche",Media
Consulto sobre los pasos para registrar mi emprendimiento en la municipalidad,Baja
Consulta sobre procedimiento para solicitar audiencia con el alcalde,Baja
Solicito certificado de compatibilidad de uso para actividad de servicios educativos,Media
Solicito información sobre el programa de pintura de fachadas para vecinos,Baja
Solicito revisión de expediente de construcción paralizado sin justificación clara,Media
"Reporte de semáforo intermitente en cruce de Av. Aviación con Jr. Huánuco, riesgo de choques",Media
Solicito información sobre cómo participar en sesiones de concejo municipal abierto,Baja
"Fuga de cloro en planta de tratamiento de agua, intoxicados 8 trabajadores",Alta
Pido intervención por local que funciona como almacén en zona estrictamente residencial,Media
Reclamo por demora de 6 meses en resolución de recurso de apelación presentado,Media
"Banda armada asalta galería en Gamarra, disparan al aire, hay heridos de pánico",Alta
"Queja por cobro indebido de derecho de tramitación, ya había pagado en línea el día anterior",Media
"Denuncia por ruidos molestos en la madrugada de fin de semana, música alta del vecino",Baja
"Estructura metálica de obra colapsa sobre vereda, varios heridos leves y un grave",Alta
"Trámite de zonificación comercial para local en Jr. Cusco 890, cambio de residencial a mixto",Media
Consulta sobre cómo reportar una empresa que no tributa en el distrito,Baja
Pregunto por el proceso para actualizar mis datos en el sistema de contribuyentes,Baja
Pregunto sobre el proceso para dar de baja a un predio demolido del catastro,Baja
"Alud de lodo y piedras en quebrada de El Agustino, arrastra viviendas precarias",Alta
Duda sobre vigencia de licencia de conducir emitida por la municipalidad,Baja
"Urgente: pandilla armada bloquea salida de colegio, alumnos retenidos con miedo",Alta
Quiero saber si hay servicio de traducción en quechua en la municipalidad,Baja
"Explosión de tanque de gas en taller textil de Jr. Cusco 123, hay heridos graves",Alta
Queja por incumplimiento de horario de recojo de basura en mi cuadra por semanas,Media
"Niño reportado desaparecido hace 8 horas, padres desesperados piden ayuda urgente",Alta
Solicito información sobre talleres gratuitos para emprendedores del distrito,Baja
"Derrumbe de casona antigua en Jr. San Cristóbal 234, paredes a punto de caer sobre la vereda",Alta
"Queja por acumulación de agua estancada en esquina de Av. México, criadero de mosquitos",Media
"Falla eléctrica masiva provoca incendio en tablero de edificio, fuego en escaleras",Alta
"Rotura de tubería de gas en edificio de 8 pisos, evacuación masiva de inquilinos",Alta
Solicito cambio de titularidad de licencia de funcionamiento por fallecimiento del propietario,Media
Menor de 12 años rescatado de red de explotación en galería del mercado central,Alta
"Consulta sobre estado de trámite administrativo N° 789-2025, ingresado el 10 de marzo",Baja
Queja por proliferación de palomas en edificio abandonado que ensucian toda la cuadra,Media
"Contaminación masiva de agua potable en sector 4, vecinos con síntomas de intoxicación",Alta
Pido gestión para recuperar área verde tomada ilegalmente por vecino como jardín privado,Media
Solicito información sobre actividades del programa adulto mayor de la municipalidad,Baja
Solicito renovación de permiso de ocupación de vía para feria dominical de artesanos,Media
Menor de edad rescatada de situación de trata en hotel cercano al mercado central,Alta
Auxilio: madre reporta que su hijo menor fue agredido por delincuentes dentro de galería,Alta
"Secuestro de comerciante en galería El Rey, familia pide rescate urgente",Alta
Persona sepultada por derrumbe en obra de remodelación sin licencia en Jr. Cusco,Alta
"Choque frontal entre ambulancia y camión en Av. México, heridos en ambos vehículos",Alta
Quiero saber si existen convenios de salud con clínicas cercanas para vecinos,Baja
Queja por empresa que descarga mercadería de madrugada bloqueando toda la calle,Media
Solicito información sobre servicios municipales disponibles para personas con discapacidad,Baja
Requiero copia certificada de plano de mi vivienda para trámite de sucesión hereditaria,Media
Consulta sobre cómo obtener la tarjeta de estacionamiento para personas con discapacidad,Baja
Solicitud de cambio de categoría de giro comercial de mi licencia de funcionamiento,Media
Consulta sobre requisitos para ser miembro del comité de vigilancia vecinal,Baja
Pedido de inspección de local por denuncia de vecinos sobre funcionamiento irregular,Media
Solicito emisión de constancia de posesión para gestiones ante entidad financiera,Media
"Derrame de combustible en Av. Abancay, riesgo de incendio y contaminación inmediata",Alta
"Duplicado de recibo de arbitrios 2025, perdí el original en la mudanza",Baja
"Banda criminal detiene y roba a transportistas en zona industrial, hay rehenes",Alta
Quiero obtener información sobre el reglamento de animales domésticos en el distrito,Baja
Solicito cambio de domicilio en padrón de contribuyentes municipales,Baja
Pregunta sobre procedimiento para solicitar instalación de parquímetros en mi calle,Baja
"Colapso de alcantarillado en Jr. Huánuco 890, aguas servidas inundan 5 viviendas y un colegio",Alta
Solicito orientación sobre cómo registrar un comité de vaso de leche en mi barrio,Baja
Requiero inspección de restaurante vecino que opera sin cumplir normas de salubridad,Media
Solicitud de exoneración de arbitrios para adulto mayor de 80 años con ingresos bajos,Media
"Niña perdida en mercado Gamarra, lleva 4 horas desaparecida, padres desesperados",Alta
"Desprendimiento de cornisa en edificio de Av. Iquitos 560, peligro para transeúntes",Alta
"Muro de contención a punto de colapsar en quebrada, amenaza a 50 familias",Alta
