texto,prioridad
Quiero obtener información sobre el programa de reciclaje del distrito,Baja
Solicito revisión de avalúo predial que duplicó valor sin notificación previa ni justificación,Media
"Vereda hundida 30cm en Jr. Ayacucho por fuga subterránea de agua, ensancha cada día",Alta
Consulta sobre si existe atención virtual para trámites de registro civil,Baja
Pregunto por el avance de mi solicitud de constancia de no adeudo presentada hace una semana,Baja
Queja por pérdida de pendiente en pista frente a mi cochera que impide el acceso vehicular,Media
Necesito saber si puedo tramitar la constancia de residencia por correo electrónico,Baja
Solicito aclaración sobre nuevo reglamento de zonificación publicado la semana pasada,Baja
Consulta sobre si la municipalidad tiene convenio con colegios profesionales para trámites,Baja
Pregunta sobre si el sistema de citas en línea está disponible para trámites de catastro,Baja
"Techo de mercadillo de Av. México con vigas oxidadas al 80 por ciento, filtra agua con llovizna",Alta
Quiero saber si existe programa de capacitación en oficios para jóvenes del distrito,Baja
Consulta sobre si hay algún beneficio por primera licencia para emprendedores jóvenes,Baja
Vecino techó sin licencia usando losa de concreto que sobrecarga estructura antigua compartida con mi casa,Alta
Construccion vecina perforó medianera compartida sin autorización ni apuntalamiento previo,Alta
Necesito saber si se puede hacer seguimiento de expedientes con número de DNI sin código,Baja
"Poste de concreto partido en la base en Jr. Cusco, se sostiene solo por los cables de luz tensados",Alta
Solicito información sobre el programa de vigilancia vecinal apoyado por la municipalidad,Baja
Pregunta sobre cuánto tiempo tarda normalmente la aprobación de una licencia de bodega,Baja
Solicito directorio de subgerencias para saber a cuál dirigirme con mi trámite,Baja
Queja por ruido de máquinas de taller desde las 6am en zona residencial de Jr. Puno,Media
Solicito cambio de giro en licencia de funcionamiento de bodega a minimarket con deli,Media
Consulta sobre si puedo presentar documentos en formato digital en mesa de partes,Baja
"Error en recibo de limpieza pública, me facturan local comercial como vivienda con tarifa diferente",Media
Queja por mala señalización de obra en pista que causó accidente a ciclista esta mañana,Media
Necesito el correo electrónico de la oficina de transparencia y acceso a información,Baja
Taller de soldadura opera sin licencia de defensa civil en local de madera en zona residencial,Alta
Quiero información sobre si existen cursos de capacitación laboral gratuitos para adultos,Baja
Solicito inspección ocular de edificio vecino con grietas que aparecieron tras su excavación de sótano,Media
Solicito información sobre el sistema de quejas y sugerencias de la defensoría municipal,Baja
Quiero información sobre beneficios tributarios vigentes para inmuebles en zonas de riesgo,Baja
Quiero saber si puedo pagar el predial en cuotas mensuales sin intereses adicionales,Baja
Reclamo porque resolución notificada tiene error material en nombre y número de predio,Media
"Solicito rectificación de nombre en registro de contribuyentes, aparece con error desde 2019",Media
Taller mecánico en Jr. San Cristóbal opera en zona residencial con ruido desde las 7am y aceite en la pista,Media
Pregunta sobre si existe notificación electrónica para resoluciones de trámites,Baja
"Columna de local comercial en Gamarra con acero expuesto y base húmeda, carga 3 pisos encima",Alta
Quisiera saber el horario de atención de la oficina de licencias de funcionamiento,Baja
Consulta sobre si hay descuento especial para pensionistas en el pago de arbitrios,Baja
"Obra clandestina perforó muro de contención de quebrada, zona de riesgo sin habilitación municipal",Alta
"Acequia descubierta sin protección en parque nuevo inaugurado sin cierre, riesgo para visitantes",Alta
"Parque infantil de Balconcillo con columpio roto y resbaladera con borde filoso, riesgo para niños",Media
Consulta sobre si puedo solicitar al municipio apoyo para legalizar terreno propio,Baja
"Reclamo por multa aplicada sobre predio ya regularizado, resolución de levantamiento adjunta",Media
"Solicito actualización de datos catastrales, figura área de 80m2 cuando tengo 120m2 en escritura",Media
Pregunta sobre cuáles trámites se pueden hacer en línea actualmente,Baja
Necesito saber si hay algún beneficio tributario para asociaciones sin fines de lucro,Baja
Solicito información sobre el programa de arborización urbana que anunció la municipalidad,Baja
"Tapa de buzón de desagüe rota en Jr. Cusco, hueco pequeño pero suficiente para torcer el pie",Media
Pregunta sobre el proceso para obtener reconocimiento de comité de propietarios de edificio,Baja
Queja por acumulacion de basura en berma central de Av. Iquitos sin recojo desde hace semanas,Media
"Escalera de puente peatonal con 3 peldaños rotos, han caído 2 personas esta semana según vecinos",Alta
"Pavimento hundiéndose en Av. 28 de Julio frente a banco, riesgo de colapso según vecinos",Alta
"Me cobraron arbitrios de predio que vendí hace 2 años, tengo escritura pública que lo acredita",Media
Necesito el número de teléfono de la subgerencia de obras privadas,Baja
Queja por parqueo de camiones de carga en vía peatonal exclusiva de Av. México de noche,Media
Necesito saber si existe servicio de orientación para emprendedores en la municipalidad,Baja
"Plazo de subsanación de observaciones en expediente de habilitación vence esta semana, sin atención previa",Alta
Necesito saber el proceso para tramitar cambio de nombre en recibo de arbitrios,Baja
Necesito saber si puedo hacer seguimiento de mi expediente con número de DNI,Baja
Vecino amplió su construcción invadiendo 80cm de mi terreno según medidas de escritura pública,Media
Solicito folleto sobre los servicios que ofrece la subgerencia de desarrollo social,Baja
Necesito información sobre si mi zona permite instalación de antena de telecomunicaciones,Baja
"Perros callejeros agresivos en paquete de 8 en zona escolar de Jr. Renovación, ya mordieron a dos menores",Alta
Aguas servidas del desagüe municipal afluyen hacia acequia de riego de parque hace 6 días,Alta
"Vereda completamente destruida en Jr. Ayacucho cuadra 3, adultos mayores no pueden caminar por ahí",Media
Consulta sobre cómo obtener constancia de participación en programa social municipal,Baja
"Reclamo por extravío de documentos originales presentados en mesa de partes, acuse de recibo adjunto",Media
"Puente peatonal sobre canal en Jr. Renovación con barandas oxidadas caídas y losa con huecos, sin señalización",Alta
"Multa por publicidad no autorizada en local que nunca tuvo anuncio, foto adjunta de fachada vacía",Media
"Pido verificación de medidas de terreno antes de firma de compraventa, hay discrepancia en planos",Media
Pregunta sobre qué documentos piden para tramitar constancia de convivencia,Baja
Consulta sobre si existe algún pendiente en mi trámite de cambio de zonificación,Baja
"Buzón de desagüe sin tapa en vereda escolar de Jr. Cusco, tiene 60cm de profundidad, sin señalización ni cerco",Alta
"Columna de local municipal en Av. 28 de Julio con acero expuesto y base erosionada, carga el piso superior",Alta
Consulta sobre si puedo pagar mi deuda de arbitrios en cuotas mensuales sin recargo,Baja
Pregunta sobre el proceso para obtener reconocimiento de comité de gestión vecinal,Baja
Solicito copia del acta de la sesión de concejo del 15 de febrero para consulta ciudadana,Baja
Quiero información sobre el programa de mejoramiento de fachadas del distrito,Baja
Terreno con residuos de asbesto sin cercar en zona donde juegan niños del asentamiento humano,Alta
Solicito información sobre si existe programa de apoyo para asociaciones de comerciantes,Baja
Quiero saber si el inspector ya visitó mi predio para el trámite de licencia de obra,Baja
Expediente de apelación sin resolver y plazo para acción legal vence en 72 horas según notificación,Alta
Quiero saber qué documentos piden para renovar la licencia de mi negocio de ropa,Baja
Consulta sobre requisitos para obtener autorización de anuncio publicitario en fachada,Baja
"Canal de regadío obstruido hace una semana inunda calles de sector 3, agua estancada crea condiciones insalubres",Alta
"Camal clandestino en Jr. Puno vierte residuos orgánicos al desagüe público, olor insoportable y atrae moscas",Alta
Edificio con orden de desocupación habitado con 6 familias que pagaron anticipo a propietario,Alta
Pregunto si ya fue derivado mi recurso de reclamación tributaria a la oficina correspondiente,Baja
"Lampara de alumbrado colgando de cable sin soporte en Av. Grau, se balancea con el viento",Alta
Pregunta sobre el proceso para inscribir una asociación de propietarios ante la municipalidad,Baja
Necesito saber si se puede presentar recurso de apelación de forma virtual,Baja
Quiero saber cuáles son los canales oficiales de comunicación de la municipalidad,Baja
Pregunta sobre los requisitos mínimos para licencia de funcionamiento de un puesto de jugos,Baja
"Vecino realizó demolición informal y dejó muros colgados sin apuntalamiento, amenaza viviendas contiguas",Alta
"Licencia de funcionamiento para minimarket, cumplí todos los requisitos pero no hay respuesta en 30 días",Media
"Solicito inspección de local que solicita licencia, tiene actividad diferente a la declarada",Media
Consulta sobre si hay descuento por pagar el predial completo en enero,Baja
Denuncia por construccion informal en azotea de edificio sin licencia de ampliación,Media
Queja por empresa de construcción que usa vereda como mezcladora de concreto sin permiso,Media
"Solicito instalación de papelera en paradero principal de Av. Grau, hay mucha basura acumulada",Media
Reclamo por cobro de arbitrios en recibo de otro contribuyente mezclado con el mío,Media
"Instalación eléctrica informal en mercado sin certificación, tablero sin tapa con cables expuestos",Alta
"Pido bacheo de bache en Jr. Ayacucho que lleva 2 meses, ya dañó 3 vehículos según reportes",Media
"Fachada de edificio municipal con mampostería suelta a 8 metros de altura, zona de alto tráfico peatonal",Alta
Rampa para discapacitados en acceso a local municipal bloqueada con material de obra sin retirar,Media
Quiero saber si hay biblioteca pública municipal y cuál es su horario de atención,Baja
"Cornisa de edificio antiguo en Av. Iquitos 560 con bloques sueltos visibles desde la vereda, zona muy transitada",Alta
"Acequia de drenaje pluvial obstruida antes de temporada de lluvias, vecinos reportan inundaciones cada vez que llueve",Alta
Denuncia por local que opera como discoteca sin licencia de bar nocturno en zona residencial de Balconcillo,Media
Necesito saber si existe un libro de reclamaciones virtual para quejas de servicios municipales,Baja
"Alumbrado público completamente apagado en 5 cuadras de Jr. San Cristóbal desde hace 8 noches, zona insegura",Alta
"Contrato de obra municipal vencido hace 2 meses, empresa paralizada sin penalidad aplicada",Alta
Consulta sobre qué pasa si no pago los arbitrios dentro del plazo establecido,Baja
"Servicio de recojo de basura suspendido hace 10 días en zona de Gamarra, acumulación atrae roedores y vectores",Alta
"Escalera de uso comunal en pasaje de Urb. Santa Catalina con peldaños sueltos, ya cayó una anciana",Alta
Quiero saber si puedo pagar mis deudas municipales en cuotas sin recargo de intereses,Baja
"Grieta diagonal en columna principal de edificio de 5 pisos en Av. Aviación, aparecida tras lluvia de anoche",Alta
Pregunta sobre si existen exoneraciones de pago para organizaciones culturales del distrito,Baja
Empresa de transporte usa solar municipal como estacionamiento sin contrato ni pago de alquiler,Media
Necesito orientación sobre qué trámite debo iniciar para subdividir mi terreno en dos lotes,Baja
Necesito datos de contacto de la oficina de registro civil para consulta de actas,Baja
Queja formal por funcionario que exige documentos no previstos en TUPA para aprobar licencia,Media
Solicito cierre de expediente de multa pagada que sigue activo en sistema como deuda pendiente,Media
Solicito información sobre fechas de campaña de reciclaje en el distrito este trimestre,Baja
"Restaurante popular en Av. Iquitos con cucarachas visibles en zona de preparación, inspección sanitaria urgente",Alta
Pregunta sobre los mecanismos para acceder al presupuesto participativo del distrito,Baja
Pregunta sobre los pasos para solicitar inspección técnica de seguridad en defensa civil,Baja
Queja por luminaria apagada hace 3 semanas en pasaje interior de Urb. Santa Catalina,Media
"Techo de calamina de mercadillo municipal levantado por viento, sujeto solo por un alambre, riesgo inminente",Alta
Quiero saber si la municipalidad tiene convenio con universidades para prácticas preprofesionales,Baja
"Cambio de zonificación de residencial a comercial para local de Jr. Cusco, estudio en trámite hace 4 meses",Media
Necesito copia simple del expediente de obra de mi vivienda para trámite de hipoteca,Baja
Necesito saber si la municipalidad tiene programa de adopción de áreas verdes,Baja
"Proyecto de habilitación urbana con plazo de vigencia a punto de expirar, sin resolución tras 8 meses",Alta
Acequia descubierta de 2 metros de profundidad sin protección en zona de juegos de parque infantil,Alta
Solicito información sobre campañas de fumigación y desratización programadas,Baja
Quiero saber si existe un canal de atención telefónica para consultas rápidas,Baja
Consulta sobre el proceso para obtener personería jurídica de mi junta de propietarios,Baja
Quiero saber si hay campañas gratuitas de salud dental o visual programadas,Baja
Solicito reparación de reja de parque rota que permite ingreso no controlado de noche,Media
Quisiera saber los requisitos para tramitar licencia de funcionamiento de una bodega pequeña,Baja
Quiero saber si el TUPA está publicado en la web para consultar las tasas actualizadas,Baja
Quiero saber si puedo tramitar la licencia de funcionamiento por internet o debo ir presencialmente,Baja
Solicito constancia de predio libre de gravámenes para gestión ante entidad financiera,Media
"Solicito prórroga de plazo para subsanar observaciones, estuve hospitalizado con certificado médico",Media
Queja por acumulación de agua en cuneta de Av. México que no drena hace semanas,Media
"Colapso parcial de techo de pasillo en mercado de Gamarra, escombros bloquearon 4 puestos",Alta
"Solicito aprobación de planos para vivienda de 2 pisos en Urb. Santa Catalina, expediente completo",Media
Quiero saber los requisitos para tramitar licencia de funcionamiento para gimnasio pequeño,Baja
Solicito reparación de pista destruida por obra de agua y desagüe que finalizó hace 3 meses,Media
Pregunta sobre el proceso para regularizar una junta vecinal ya existente,Baja
Solicito información sobre los mecanismos de participación ciudadana disponibles,Baja
Quiero saber si puedo autorizar a mi hijo a retirar documentos aprobados en mi nombre,Baja
"Grieta estructural en muro de colegio aparecida tras lluvias, alumnos pasan junto a ella diariamente",Alta
"Certificado de parámetros urbanísticos vencido bloquea tramitación de crédito hipotecario, 45 días de espera",Alta
Acumulación de toneladas de desmonte y basura en área verde de Jr. Ayacucho atrae ratas que ingresan a viviendas,Alta
Necesito información sobre el procedimiento para solicitar constancia de posesión,Baja
Desmonte de demolición obstruye 2 metros de vereda en zona escolar sin señalización alguna,Alta
"Vecino construyó sobre servidumbre de paso registrada en Sunarp, bloquea acceso a 4 predios interiores",Alta
Solicito información sobre el reglamento de zonificación actualizado del distrito,Baja
Pregunta sobre cómo actualizar datos bancarios para recibir devoluciones de tributos,Baja
"Edificio con orden de demolición parcial sigue habitado y recibiendo arriendo, propietario ignora resolución",Alta
Denuncia por inmueble con orden de clausura que opera cambiando de actividad sin nueva licencia,Media
"Desagüe bloqueado en Urb. Balconcillo lleva 8 días, aguas negras entran a cocheras",Alta
Tubería de agua rota bajo pista de Av. Grau lleva 5 días hundiendo el pavimento progresivamente,Alta
Solicito habilitación de pase peatonal bloqueado ilegalmente por rejas del vecino,Media
Solicito aprobación de subdivisión de lote para venta de parte del terreno heredado,Media
Techado informal de pasaje de uso público bloquea salida de emergencia de edificio vecino,Alta
Mercadillo informal ocupa parque público de Urb. Balconcillo todos los fines de semana sin permiso,Media
"Local de preparación de alimentos sin licencia opera en condiciones insalubres, vecinos reportan olores y plagas",Alta
"Requiero duplicado de licencia de funcionamiento de mi negocio, el original se dañó",Baja
"Certificado de parámetros urbanísticos para proyecto de inversión, solicitado hace 35 días",Media
"Construcción en terreno ajeno, propietario denuncia invasión con inicio de obra sin título",Media
Solicito renovación de autorización para kiosco de periódicos en paradero de Av. Aviación,Media
Necesito datos de contacto del defensor del vecino para consulta sobre predio,Baja
"Recibo de agua con consumo irreal de 80 metros cúbicos en vivienda de 2 personas, posible fuga interna",Media
Solicito datos de contacto para hacer consultas sobre el plan de desarrollo urbano,Baja
Pregunta sobre qué tipo de licencia necesito para poner un taller de costura en mi casa,Baja
Consulta sobre si la municipalidad hace inspecciones preventivas de locales o solo por denuncia,Baja
"Notificación de demolición recibida sin proceso previo, plazo para apelar vence mañana, nunca fui notificado",Alta
Quiero saber cuánto demora normalmente la emisión de un certificado de no adeudo,Baja
Cableado informal sin protección a 1.5 metros de altura en pasaje peatonal de Urb. Santa Catalina,Alta
Solicito copia del plano de zonificación del sector donde está mi terreno,Baja
Quiero saber si existe atención virtual para trámites de licencias de funcionamiento,Baja
Solicito directorio de funcionarios municipales para mi trabajo de investigación,Baja
"Pared medianera de casona antigua en Jr. San Cristóbal 234 tiene fisuras que cruzan de lado a lado, riesgo de derrumbe",Alta
"Contrato de mantenimiento de alumbrado vencido hace 3 meses, 20 postes apagados en zona oscura",Alta
Solicito verificación de estado de edificio con orden de desocupación que propietario ignora,Media
Local de comidas rápidas frente al colegio vende sin licencia de funcionamiento vigente,Media
Reclamo por tarifa de limpieza aplicada sobre metraje incorrecto de mi local comercial,Media
"Escalera de uso público en pasaje municipal completamente destruida, adultos mayores y niños la usan a diario",Alta
Solicito información sobre actividades culturales y deportivas programadas para este mes,Baja
Solicito reposición de placa de nomenclatura destruida en esquina Jr. Cusco con Jr. Puno,Media
"Agua estancada en obra paralizada hace meses crea criadero de zancudos, vecinos reportan casos de dengue en la zona",Alta
"Solicito traslado de expediente a unidad correcta, fue derivado erróneamente hace 45 días",Media
Hundimiento progresivo en Jr. Puno cuadra 6 por fuga de agua subterránea sin atención hace 2 semanas,Alta
"Construcción ilegal de 4 pisos sin columnas adecuadas en Jr. Huánuco, inspección urgente antes de que sigan",Alta
Reclamo porque recibo de predial 2026 llegó con nombre de antiguo propietario fallecido,Media
Necesito saber si la municipalidad ofrece mediación para conflictos entre vecinos,Baja
"Canaleta pluvial tapada con desmonte en zona alta, cualquier lluvia arrastra todo a las viviendas de abajo",Alta
"Corte de agua en 8 cuadras de Jr. Renovación lleva 7 días, nota de la empresa solo dice en evaluación",Alta
Consulta sobre cómo obtener constancia de compatibilidad de uso para trámite bancario,Baja
Solicito información sobre el proceso para donar terreno a la municipalidad para área verde,Baja
"Expediente de subdivisión predial paralizado 6 meses, banco ejecutará garantía si no presento documentos esta semana",Alta
"Expediente de licencia de establecimiento de salud con plazo legal vencido, Diresa espera resolución",Alta
"Muro perimetral del colegio Gamarra con grietas profundas visibles, se mueve con el viento, hay niños cerca",Alta
Solicito información sobre becas o apoyos municipales para estudiantes universitarios,Baja
Reclamo por expediente de licencia aprobada que no puedo retirar porque sistema está caído hace semanas,Media
Solicito acceso a expediente propio de licencia para verificar observaciones no notificadas,Media
"Obra de pistas contratada por municipalidad lleva 3 meses paralizada sin justificación, contrato vencido",Alta
"Reclamo por error en nombre en resolución de licencia aprobada, afecta trámite bancario",Media
"Tanque elevado de agua municipal con base corroída y pernos sueltos, abastece a 3 manzanas",Alta
Necesito duplicado de constancia de pago de impuesto predial 2024 para declaración de renta,Baja
"Buzones de desagüe desbordando aguas negras en Jr. Cusco cuadra 4, seis días sin solución",Alta
"Renovación de licencia de mi peluquería vencida hace 2 meses, he ido 4 veces y me piden documentos distintos",Media
Pregunta sobre el tiempo estimado de atención para trámite de licencia de edificación,Baja
Solicito información sobre el programa de pintado de fachadas para mi calle,Baja
Muro de adobe sin refuerzo en fachada de local municipal con inclinación visible hacia la vereda,Alta
Denuncia por discoteca sin licencia de funcionamiento nocturno en zona mixta de Gamarra,Media
"Local de alimentos sin licencia con plagas, vecinos ya reportaron intoxicaciones leves",Alta
Fosa séptica colapsada de mercado municipal rebosa hacia pasaje peatonal hace 3 días sin atención,Alta
Pregunta sobre si existe sistema para hacer seguimiento del estado de mi expediente,Baja
Pregunta sobre el proceso para obtener autorización de evento en espacio público,Baja
"Luminaria de altura en Av. México inclinada sobre la pista tras choque de vehículo, sin señalización",Alta
Denuncia por local que anuncia venta de comida pero opera como almacén no declarado,Media
Pregunta sobre las fechas del cronograma de recojo de residuos voluminosos,Baja
Necesito saber si hay talleres municipales de computación para adultos mayores del distrito,Baja
"Solicito duplicado de recibo de pago de derecho de tramitación, necesito para reembolso",Baja
"Cancha deportiva municipal de Urb. Santa Catalina con arco roto hace 4 meses, peligro para jugadores",Media
"Mercado de abastos con techo sin mantenimiento, filtraciones contaminan puestos de carnes y lácteos",Alta
Solicito información sobre el programa de mejoramiento integral de barrios del distrito,Baja
"Solicito copia fedateada de resolución de licencia aprobada, necesito para trámite bancario urgente",Media
Solicito folleto con información sobre los trámites disponibles en mesa de partes virtual,Baja
Quiero información sobre los plazos para pagar arbitrios con descuento por pronto pago,Baja
Solicito información sobre campañas de salud bucal gratuita programadas para este año,Baja
"Poste de concreto fisurado en esquina de Av. Aviación con Jr. Puno, base carcomida, cables tensados encima",Alta
Quiero información sobre el plan de desarrollo urbano vigente de La Victoria,Baja
Pregunta sobre el procedimiento para solicitar personería jurídica de asociación vecinal,Baja
Solicito inspección de edificio vecino con crack diagonal que no tenía antes de su excavación,Media
Denuncia por local que hace fiestas privadas con música hasta las 5am en zona residencial,Media
Obra de pistas interrumpida deja zanjas abiertas en 3 cuadras sin cerco ni señalización nocturna,Alta
Quiero saber en qué área está mi trámite de aprobación de planos N° 456-2025,Baja
"Empresa de construcción dañó red de agua potable y no repara, 12 familias sin servicio hace 5 días",Alta
Solicito revisión de catastro por discrepancia de 20 metros cuadrados entre escritura y registro,Media
"Certificado de compatibilidad de uso para consultorio médico, llevo 5 semanas esperando sin avance",Media
Queja por semáforo que falla intermitentemente en cruce de Jr. Puno con Av. Grau,Media
Solicito instalación de señal pare en esquina ciega de Jr. Huánuco con Jr. Renovación,Media
Necesito saber el monto de la tasa para certificado de zonificación vigente,Baja
"Acumulación de residuos de construcción en acequia pluvial, primer aguacero puede inundar 3 cuadras",Alta
"Solicito licencia de funcionamiento para bodega en Av. Aviación 1200, presenté expediente hace 45 días sin respuesta",Media
"Depósito informal de residuos hospitalarios en terreno baldío de Urb. Balconcillo, sin contenedores adecuados",Alta
Consulta sobre si existe oficina de orientación al ciudadano antes de ingresar un trámite,Baja
"Requiero verificación catastral de predio para herencia, figura dos propietarios en registros",Media
Vecino instaló reja en pasaje público cortando acceso que usamos 6 familias hace 20 años,Media
"Reclamo por multa aplicada a predio equivocado, mi número de contribuyente no corresponde",Media
Corte de agua programado de 2 horas lleva ya 9 días sin reposición total del servicio,Alta
Consulta sobre si hay campaña de fumigación programada para este mes en el distrito,Baja
"Desagüe colapsado al fondo de pasaje, aguas negras suben por inodoros de viviendas los fines de semana",Alta
Necesito saber si puedo presentar documentos escaneados o deben ser originales,Baja
"Bache profundo en Av. 28 de Julio frente al mercado, 3 motos han caído en 2 semanas, fotos adjuntas",Media
Consulta sobre horario de atención de la oficina de catastro para este mes,Baja
"Losa de techo de mercado municipal tiene hundimiento visible y gotea con lluvia leve, puestos debajo en funcionamiento",Alta
Consulta sobre si la municipalidad tiene registro de inquilinos para efectos tributarios,Baja
Quiero saber si existe aplicación móvil de la municipalidad para consultar trámites,Baja
Requiero información sobre el proceso de apelación de una resolución desfavorable,Baja
Solicito limpieza de parque de Urb. Balconcillo que no recibe mantenimiento hace 3 meses,Media
Pregunta sobre cómo acceder al sistema de transparencia para ver gastos municipales,Baja
Necesito saber qué áreas atienden en el primer piso del edificio municipal,Baja
Expediente de demolición de estructura peligrosa con plazo vencido hace 30 días sin ejecutar,Alta
"Permiso de demolición para vivienda antigua en Jr. Renovación, llevo 6 semanas en trámite",Media
Solicito intervención por vecino que obstruye con rejas el paso peatonal entre Jr. Puno y Jr. Cusco,Media
Cancha municipal con arco oxidado y roto con puntas expuestas en zona de juego activa,Alta
Necesito saber qué formulario corresponde para solicitar acceso a expediente administrativo,Baja
Queja por empresa que lava vehículos en la pista y vierte agua con aceite al desagüe público,Media
Necesito saber si la municipalidad tiene convenio con Sunarp para agilizar trámites prediales,Baja
"Licencia de demolición urgente bloqueada por trámite interno sin resolver, obra de seguridad no puede iniciar",Alta
Consulta sobre si hay atención los sábados en mesa de partes,Baja
"Reclamo por notificación de multa enviada a dirección incorrecta, me enteré por carta de tercero",Media
"Multa por infracción notificada cuando ya había subsanado la observación, plazo de pago vence en 48 horas",Alta
"Resolución de demolición de muro peligroso sin ejecutar, propietario apela pero plazo de riesgo ya pasó",Alta
Consulta sobre qué pasa con mis arbitrios si alquilo mi vivienda a un tercero,Baja
Balcón de edificio antiguo con varillas expuestas y concreto suelto a 8 metros sobre vereda,Alta
Solicito información sobre el cronograma de obras de mejoramiento de vías este año,Baja
Reclamo porque cronograma de obra municipal publicado no se cumple y no hay información oficial,Media
"Autorización de habilitación urbana para lotización en terreno de Jr. San Cristóbal, 3 meses de espera",Media
Quiero saber si la municipalidad tiene registro de empresas constructoras autorizadas,Baja
"Puente vehicular en Jr. San Cristóbal con vigas inferiores expuestas y oxidadas, carga camiones a diario",Alta
Denuncia por establecimiento que vende comida sin cumplir normas básicas de manipulación,Media
Queja por local de videojuegos sin licencia que opera hasta la madrugada en Av. Aviación,Media
"Descuento por pronto pago no aplicado pese a pagar dentro del plazo, solicito corrección",Media
"Predio con orden de demolición habitado sin cumplir plazo, riesgo para familias que viven dentro",Alta
Solicito información sobre talleres municipales gratuitos para emprendedores del distrito,Baja
Árbol seco de 15 metros en vereda de Av. Grau con rama principal colgando sobre cables de luz,Alta
Denuncia por ambulantes que venden en zona de seguridad de infraestructura crítica sin permiso,Media
